signal_date,first_notified_at,code,name,route,stage,baseline_entry,pivot,stop_price,risk_pct,volume_ratio,breakout_date,status,entry_basis,notification_version
2026-09-23,2026-09-23T16:38:29+08:00,1514,亞力,N字底,B點當日突破,105.0,103.0,100.5,4.29,1.82,2026-09-23,試單區內（待風險驗證）,signal_day_close_paper,combined-top5-v1
2026-09-23,2026-09-23T16:38:29+08:00,3013,晟銘電,N字底,B點當日突破,84.3,83.2,81.5,3.32,1.65,2026-09-23,試單區內（待風險驗證）,signal_day_close_paper,combined-top5-v1
2026-09-23,2026-09-23T16:38:29+08:00,3532,台勝科,N字底,B點當日突破,445.0,438.5,429.5,3.48,1.57,2026-09-23,試單區內（待風險驗證）,signal_day_close_paper,combined-top5-v1
2026-09-23,2026-09-23T16:38:29+08:00,2368,金像電,N字底,B點當日突破,1140.0,1130.0,1105.0,3.07,1.55,2026-09-23,試單區內（待風險驗證）,signal_day_close_paper,combined-top5-v1
2026-09-23,2026-09-23T16:38:29+08:00,8046,南電,N字底,B點當日突破,1210.0,1180.0,1155.0,4.55,1.54,2026-09-23,試單區內（待風險驗證）,signal_day_close_paper,combined-top5-v1
