date,code,name,market,vcp_stage,stage_explanation,close,pivot,distance_to_pivot_pct,upper_pivot,upside_to_upper_pivot_pct,reward_risk_ratio,support_lower,support_upper,stop_price,contraction_count,contraction_depths_pct,volume_dry_ratio,volume_ratio,avg20_volume_lots,avg20_turnover,ma60,ma60_5d_change_pct,quality_score,action,invalidation
2026-09-21,3293,鈊象,上櫃,突破後回踩,突破後第2日量縮回踩，收盤守住樞紐支撐,724.0,714.0,1.4,805.5,11.26,4.75,696.0,700.0,706.86,4,9.1/10.2/4.1/3.8,0.32,1.89,3431.0,2453481816.0,737.43,-0.49,100,VCP回踩確認；列高優先觀察，正式採用前仍須完成獨立回測,收盤跌破樞紐下方1%（706.86）即失效
2026-09-21,6456,GIS-KY,上市,接近突破,VCP波動逐次收縮且末端量縮，收盤距樞紐價0～5%，尚未突破,71.9,72.1,-0.28,,,,62.9,63.6,71.38,4,30.3/12.0/12.2/13.4,0.58,6.25,3813.0,265686717.0,65.99,-0.81,88,列入觀察；不得提前追價，等待帶量突破或突破後回踩,收盤跌破樞紐下方1%（71.38）即失效
2026-09-21,3413,京鼎,上市,接近突破,VCP波動逐次收縮且末端量縮，收盤距樞紐價0～5%，尚未突破,283.5,290.25,-2.33,,,,277.0,280.0,287.35,4,14.7/9.4/4.8/3.6,0.76,0.67,718.0,202603582.0,307.62,-0.82,79,列入觀察；不得提前追價，等待帶量突破或突破後回踩,收盤跌破樞紐下方1%（287.35）即失效
2026-09-21,1609,大亞,上市,接近突破,VCP波動逐次收縮且末端量縮，收盤距樞紐價0～5%，尚未突破,37.95,38.6,-1.68,,,,37.55,37.85,38.21,4,16.5/6.0/5.3/2.9,0.78,1.12,3087.0,116440086.0,37.44,0.13,78,列入觀察；不得提前追價，等待帶量突破或突破後回踩,收盤跌破樞紐下方1%（38.21）即失效
2026-09-21,8070,長華*,上市,接近突破,VCP波動逐次收縮且末端量縮，收盤距樞紐價0～5%，尚未突破,49.9,51.2,-2.54,,,,49.2,49.5,50.69,4,12.3/8.2/3.9/3.9,0.81,0.81,2029.0,102427654.0,49.83,-1.13,76,列入觀察；不得提前追價，等待帶量突破或突破後回踩,收盤跌破樞紐下方1%（50.69）即失效
