date,code,name,market,stage,breakout_date,close,retest_low,pivot,support_lower,support_upper,stop_price,pivot_touches,breakout_volume_lots,today_volume_lots,volume_contraction_ratio,avg20_volume_lots,avg20_turnover,ma20,ma60,close_extension_pct,retest_precision_pct,confluence,confluence_label,confluence_categories,confluence_evidence,confluence_lower,confluence_upper,poc_method,days_since_breakout,high_quality_confluence,quality_label,status,invalidation
2026-09-21,2892,第一金,上市,突破後回踩支撐並收復,2026-09-14,39.75,38.9,39.05,38.27,40.22,38.66,5,37037.0,16249.0,0.44,37577.0,1384648392.0,37.3,35.11,1.79,0.38,True,共振買點,2,結構：突破K實體下緣38.55；均線：10MA 39.23,38.55,39.23,未計入,5,True,高品質共振觀察,僅觀察，不是買進通知,收盤跌破樞紐下方1%（38.66）失效
2026-09-21,6416,瑞祺電通,上市,突破後回踩支撐並收復,2026-09-14,121.0,118.0,117.5,115.15,121.03,116.33,2,2470.0,631.0,0.26,1060.0,118791031.0,107.61,99.17,2.98,0.43,True,共振買點,1,均線：5MA 119.20,117.5,119.2,未計入,5,True,高品質共振觀察,僅觀察，不是買進通知,收盤跌破樞紐下方1%（116.33）失效
2026-09-21,2897,王道銀行,上市,突破後回踩支撐並收復,2026-09-14,11.25,11.05,11.0,10.78,11.33,10.89,9,13430.0,9100.0,0.68,6680.0,72329506.0,10.81,10.48,2.27,0.45,True,共振買點,2,結構：突破K實體下緣11.00；均線：10MA 11.08,11.0,11.08,未計入,5,True,高品質共振觀察,僅觀察，不是買進通知,收盤跌破樞紐下方1%（10.89）失效
2026-09-21,4939,亞電,上櫃,突破後回踩支撐並收復,2026-08-26,78.8,77.7,78.2,76.64,80.55,77.42,2,31026.0,5344.0,0.17,15631.0,1313911719.0,83.92,68.51,0.77,0.64,True,共振買點,1,均線：5MA 78.94,78.2,78.94,未計入,18,False,一般突破回踩觀察,僅觀察，不是買進通知,收盤跌破樞紐下方1%（77.42）失效
2026-09-21,3045,台灣大,上市,突破後回踩支撐並收復,2026-09-15,124.5,122.5,121.5,119.07,125.15,120.28,20,10448.0,6275.0,0.6,8028.0,954153965.0,119.17,114.78,2.47,0.82,True,共振買點,2,結構：突破K實體下緣121.50；均線：10MA 122.10,121.5,122.1,未計入,4,False,一般突破回踩觀察,僅觀察，不是買進通知,收盤跌破樞紐下方1%（120.28）失效
2026-09-21,2884,玉山金,上市,突破後回踩支撐並收復,2026-09-08,46.2,44.9,44.4,43.51,45.73,43.96,3,66913.0,24243.0,0.36,51357.0,2226744897.0,43.24,38.6,4.05,1.13,False,未達共振條件,0,僅原突破樞紐,44.4,44.4,未計入,9,False,一般突破回踩觀察,僅觀察，不是買進通知,收盤跌破樞紐下方1%（43.96）失效
2026-09-21,2890,永豐金,上市,突破後回踩支撐並收復,2026-09-14,45.7,44.75,44.1,43.22,45.42,43.66,7,31277.0,18347.0,0.59,28902.0,1240183682.0,42.76,40.72,3.63,1.47,True,共振買點,2,結構：突破K實體下緣43.70；均線：10MA 44.48,43.7,44.48,未計入,5,False,一般突破回踩觀察,僅觀察，不是買進通知,收盤跌破樞紐下方1%（43.66）失效
